Date,Biomass - Actual Aggregated [MW],Energy storage - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
2019-12-07,7973.0,0.0,0.0,0.0,177077.0,2386.0,4202.0,0.0,0.0,0.0,3577.0,18617.0,127711.0,52556.0,0.0,1052603.0,0.0,0.0,12354.0,5228.0,94647.0
2019-12-08,7974.0,0.0,0.0,0.0,69633.0,1292.0,4202.0,0.0,0.0,0.0,3136.0,46751.0,111025.0,46640.0,0.0,1013564.0,0.0,0.0,12118.0,5265.0,239169.0
2019-12-09,7965.0,0.0,0.0,0.0,136508.0,1156.0,4207.0,0.0,0.0,0.0,12246.0,20028.0,121638.0,64508.0,0.0,1063741.0,0.0,0.0,12163.0,5182.0,262990.0
2019-12-10,8053.0,0.0,0.0,0.0,191094.0,1207.0,4211.0,0.0,0.0,0.0,27838.0,4283.0,142552.0,84286.0,0.0,1041565.0,0.0,0.0,17880.0,5180.0,144934.0
2019-12-11,7911.0,0.0,0.0,0.0,195138.0,895.0,4277.0,0.0,0.0,0.0,29583.0,18322.0,141756.0,87894.0,0.0,1108749.0,0.0,0.0,6751.0,5102.0,122184.0
2019-12-12,7628.0,0.0,0.0,0.0,185935.0,1025.0,4302.0,0.0,0.0,0.0,26513.0,18688.0,149507.0,92057.0,0.0,1098848.0,0.0,0.0,9241.0,5057.0,190695.0
2019-12-13,7723.0,0.0,0.0,0.0,150423.0,1174.0,4249.0,0.0,0.0,0.0,21401.0,16005.0,158719.0,84084.0,0.0,1013791.0,0.0,0.0,9205.0,5130.0,269867.0
2019-12-14,7847.0,0.0,0.0,0.0,63346.0,1181.0,4234.0,0.0,0.0,0.0,5559.0,26363.0,155362.0,69815.0,0.0,1025158.0,0.0,0.0,10381.0,5094.0,243262.0
2019-12-15,7997.0,0.0,0.0,0.0,68650.0,849.0,4228.0,0.0,0.0,0.0,13795.0,46109.0,157763.0,68483.0,0.0,975284.0,0.0,0.0,14076.0,5121.0,177485.0
2019-12-16,8198.0,0.0,0.0,0.0,164825.0,704.0,4281.0,0.0,0.0,0.0,28142.0,16921.0,166088.0,82881.0,0.0,981448.0,0.0,0.0,6772.0,5173.0,112142.0
2019-12-17,7992.0,0.0,0.0,0.0,140284.0,684.0,4215.0,0.0,0.0,0.0,33971.0,15255.0,168472.0,79616.0,0.0,974443.0,0.0,0.0,7662.0,5090.0,155738.0
2019-12-18,8145.0,0.0,0.0,0.0,145170.0,375.0,4253.0,0.0,0.0,0.0,19747.0,20933.0,165445.0,74197.0,0.0,1053782.0,0.0,0.0,13768.0,4996.0,133747.0
2019-12-19,7888.0,0.0,0.0,0.0,84990.0,824.0,4303.0,0.0,0.0,0.0,9587.0,21779.0,162609.0,80852.0,0.0,1070098.0,0.0,0.0,7847.0,4850.0,244254.0
2019-12-20,8374.0,0.0,0.0,0.0,65227.0,324.0,4292.0,0.0,0.0,0.0,16462.0,21241.0,168938.0,73340.0,0.0,1054495.0,0.0,0.0,8378.0,4986.0,225453.0
2019-12-21,8427.0,0.0,0.0,0.0,56499.0,919.0,4225.0,0.0,0.0,0.0,12498.0,24061.0,166599.0,72329.0,0.0,1059786.0,0.0,0.0,13927.0,5004.0,201603.0
2019-12-22,7977.0,0.0,0.0,0.0,55534.0,1285.0,4267.0,0.0,0.0,0.0,4441.0,47340.0,168242.0,68775.0,0.0,978364.0,0.0,0.0,10493.0,5178.0,244940.0
2019-12-23,7833.0,0.0,0.0,0.0,56505.0,1287.0,4227.0,0.0,0.0,0.0,24814.0,20710.0,168979.0,74254.0,0.0,1035251.0,0.0,0.0,12515.0,5112.0,197034.0
2019-12-24,8233.0,0.0,0.0,0.0,56749.0,1224.0,4185.0,0.0,0.0,0.0,7849.0,25429.0,170310.0,75193.0,0.0,1048091.0,0.0,0.0,11633.0,5042.0,222873.0
2019-12-25,8110.0,0.0,0.0,0.0,57516.0,1272.0,4180.0,0.0,0.0,0.0,11177.0,33891.0,168821.0,72381.0,0.0,1024002.0,0.0,0.0,15519.0,4659.0,85415.0
2019-12-26,8157.0,0.0,0.0,0.0,60666.0,1159.0,4282.0,0.0,0.0,0.0,19736.0,16703.0,169833.0,81665.0,0.0,1122856.0,0.0,0.0,12331.0,4406.0,130272.0
2019-12-27,8188.0,0.0,0.0,0.0,115521.0,1086.0,4252.0,0.0,0.0,0.0,22365.0,20021.0,169863.0,84725.0,0.0,1152123.0,0.0,0.0,13192.0,5035.0,98119.0
2019-12-28,8265.0,0.0,0.0,0.0,84713.0,881.0,4226.0,0.0,0.0,0.0,21639.0,16141.0,163043.0,74269.0,0.0,1172056.0,0.0,0.0,16869.0,5120.0,51885.0
2019-12-29,8252.0,0.0,0.0,0.0,67766.0,891.0,4255.0,0.0,0.0,0.0,14820.0,24851.0,155431.0,65081.0,0.0,1174419.0,0.0,0.0,14700.0,5141.0,58460.0
2019-12-30,8221.0,0.0,0.0,0.0,109640.0,1045.0,6712.0,0.0,0.0,0.0,24278.0,16834.0,157186.0,68778.0,0.0,1182714.0,0.0,0.0,19669.0,4854.0,49122.0
2019-12-31,8317.0,0.0,0.0,0.0,158628.0,1056.0,4254.0,0.0,0.0,0.0,16750.0,12591.0,153246.0,67445.0,0.0,1194828.0,0.0,0.0,15053.0,4941.0,36704.0
2020-01-01,8330.0,0.0,0.0,0.0,111446.0,1052.0,4854.0,0.0,0.0,0.0,7364.0,31173.0,137459.0,43992.0,0.0,1186191.0,0.0,0.0,12533.0,5170.0,42303.0
2020-01-02,8209.0,0.0,0.0,0.0,172206.0,1056.0,4877.0,0.0,0.0,0.0,14229.0,20145.0,143444.0,59041.0,0.0,1202422.0,0.0,0.0,11849.0,5152.0,77872.0
2020-01-03,7950.0,0.0,0.0,0.0,154389.0,1095.0,4872.0,0.0,0.0,0.0,9482.0,21632.0,135349.0,42615.0,0.0,1173316.0,0.0,0.0,9237.0,5246.0,159251.0
2020-01-04,7958.0,0.0,0.0,0.0,146818.0,1158.0,4837.0,0.0,0.0,0.0,7592.0,23979.0,122399.0,39854.0,0.0,1154234.0,0.0,0.0,14455.0,5177.0,73612.0
2020-01-05,7945.0,0.0,0.0,0.0,170004.0,970.0,4837.0,0.0,0.0,0.0,10978.0,20503.0,114830.0,40173.0,0.0,1196176.0,0.0,0.0,19106.0,5111.0,40919.0
2020-01-06,7981.0,0.0,0.0,0.0,174966.0,2704.0,6419.0,0.0,0.0,0.0,11280.0,16631.0,121031.0,55804.0,0.0,1243186.0,0.0,0.0,17470.0,5068.0,90885.0
2020-01-07,7983.0,0.0,0.0,0.0,184294.0,1049.0,4795.0,0.0,0.0,0.0,23358.0,19095.0,128541.0,76357.0,0.0,1245932.0,0.0,0.0,10433.0,5283.0,93363.0
2020-01-08,8166.0,0.0,0.0,0.0,173320.0,1162.0,4805.0,0.0,0.0,0.0,22715.0,20255.0,127925.0,69076.0,0.0,1240234.0,0.0,0.0,14985.0,5271.0,96065.0
2020-01-09,8523.0,0.0,0.0,0.0,135843.0,1350.0,4854.0,0.0,0.0,0.0,13792.0,15676.0,121800.0,73906.0,0.0,1103347.0,0.0,0.0,16956.0,5248.0,212739.0
2020-01-10,8247.0,0.0,0.0,0.0,154173.0,1368.0,4864.0,0.0,0.0,0.0,16809.0,16678.0,120180.0,67978.0,0.0,1188401.0,0.0,0.0,11275.0,5259.0,118592.0
2020-01-11,8179.0,0.0,0.0,0.0,130617.0,314.0,4863.0,0.0,0.0,0.0,5075.0,19543.0,99120.0,36042.0,0.0,1261415.0,0.0,0.0,20586.0,5301.0,80323.0
2020-01-12,7735.0,0.0,0.0,0.0,83075.0,317.0,4840.0,0.0,0.0,0.0,8425.0,21949.0,83092.0,30034.0,0.0,1259784.0,0.0,0.0,18766.0,5309.0,129180.0
2020-01-13,7634.0,0.0,0.0,0.0,156120.0,672.0,4851.0,0.0,0.0,0.0,23758.0,4761.0,113680.0,78577.0,0.0,1288744.0,0.0,0.0,15514.0,5292.0,144746.0
2020-01-14,7819.0,0.0,0.0,0.0,115920.0,666.0,4865.0,0.0,0.0,0.0,17638.0,14414.0,105106.0,56255.0,0.0,1183871.0,0.0,0.0,14938.0,5322.0,276887.0
2020-01-15,7803.0,0.0,0.0,0.0,139531.0,1323.0,4860.0,0.0,0.0,0.0,15639.0,15581.0,104140.0,65324.0,0.0,1175410.0,0.0,0.0,12172.0,5350.0,220225.0
2020-01-16,7798.0,0.0,0.0,0.0,159440.0,749.0,4864.0,0.0,0.0,0.0,10723.0,9692.0,107697.0,71724.0,0.0,1189581.0,0.0,0.0,20209.0,5348.0,157661.0
2020-01-17,7768.0,0.0,0.0,0.0,172861.0,309.0,4856.0,0.0,0.0,0.0,19171.0,18038.0,110525.0,75024.0,0.0,1201643.0,0.0,0.0,9065.0,5342.0,179869.0
2020-01-18,7757.0,0.0,0.0,0.0,192108.0,319.0,4855.0,0.0,0.0,0.0,11513.0,8430.0,103148.0,59161.0,0.0,1162409.0,0.0,0.0,18548.0,5292.0,74483.0
2020-01-19,7755.0,0.0,0.0,0.0,178581.0,188.0,4861.0,0.0,0.0,0.0,4619.0,21902.0,87849.0,54255.0,0.0,1185402.0,0.0,0.0,20459.0,5226.0,122495.0
2020-01-20,7748.0,0.0,0.0,0.0,204033.0,15629.0,4847.0,0.0,0.0,0.0,31057.0,10034.0,120061.0,96250.0,0.0,1198181.0,0.0,0.0,18147.0,5136.0,123093.0
2020-01-21,7805.0,0.0,0.0,0.0,205069.0,21208.0,6005.0,0.0,0.0,0.0,17139.0,7941.0,126898.0,91369.0,0.0,1233421.0,0.0,0.0,14497.0,5136.0,74138.0
2020-01-22,7812.0,0.0,0.0,0.0,204357.0,22368.0,7735.0,0.0,0.0,0.0,31723.0,7361.0,125209.0,96599.0,0.0,1252453.0,0.0,0.0,12028.0,5038.0,96367.0
2020-01-23,7649.0,0.0,0.0,0.0,202440.0,25323.0,9132.0,0.0,0.0,0.0,27490.0,5222.0,126246.0,112885.0,0.0,1231920.0,0.0,0.0,10335.0,5306.0,99422.0
2020-01-24,7767.0,0.0,0.0,0.0,189180.0,25659.0,4838.0,0.0,0.0,0.0,28794.0,6752.0,132765.0,109295.0,0.0,1218807.0,0.0,0.0,15387.0,5311.0,34738.0
2020-01-25,7766.0,0.0,0.0,0.0,203622.0,1871.0,4852.0,0.0,0.0,0.0,20264.0,3019.0,120527.0,78329.0,0.0,1186875.0,0.0,0.0,15568.0,5316.0,35678.0
2020-01-26,7995.0,0.0,0.0,0.0,196811.0,889.0,4814.0,0.0,0.0,0.0,9717.0,15229.0,95805.0,61130.0,0.0,1158397.0,0.0,0.0,11789.0,5221.0,93421.0
2020-01-27,7999.0,0.0,0.0,0.0,163429.0,9600.0,4849.0,0.0,0.0,0.0,24816.0,16633.0,109476.0,72447.0,0.0,1165466.0,0.0,0.0,8246.0,5136.0,205643.0
2020-01-28,7840.0,0.0,0.0,0.0,176680.0,8877.0,4853.0,0.0,0.0,0.0,22360.0,17601.0,108706.0,60285.0,0.0,1196874.0,0.0,0.0,15381.0,5259.0,263111.0
2020-01-29,7636.0,0.0,0.0,0.0,156892.0,3688.0,4850.0,0.0,0.0,0.0,28855.0,18259.0,121874.0,74116.0,0.0,1139344.0,0.0,0.0,18387.0,5233.0,152730.0
2020-01-30,7187.0,0.0,0.0,0.0,173858.0,5623.0,4836.0,0.0,0.0,0.0,20570.0,11024.0,123755.0,62740.0,0.0,1195852.0,0.0,0.0,10966.0,5178.0,183744.0
2020-01-31,7357.0,0.0,0.0,0.0,145014.0,5365.0,4867.0,0.0,0.0,0.0,14065.0,21244.0,128838.0,51807.0,0.0,1162432.0,0.0,0.0,16469.0,4856.0,160739.0
2020-02-01,7902.0,0.0,0.0,0.0,63629.0,119.0,5651.0,0.0,0.0,0.0,0.0,41270.0,122766.0,44151.0,0.0,1086275.0,0.0,0.0,12551.0,4652.0,218187.0
2020-02-02,7961.0,0.0,0.0,0.0,65246.0,45.0,5685.0,0.0,0.0,0.0,1939.0,38545.0,125399.0,47107.0,0.0,1092304.0,0.0,0.0,16243.0,4720.0,220966.0
2020-02-03,7997.0,0.0,0.0,0.0,113955.0,51.0,5680.0,0.0,0.0,0.0,9109.0,16537.0,137419.0,52910.0,0.0,1193206.0,0.0,0.0,21088.0,4627.0,179195.0
2020-02-04,7988.0,0.0,0.0,0.0,126840.0,16.0,7450.0,0.0,0.0,0.0,7693.0,26337.0,138903.0,55491.0,0.0,1229004.0,0.0,0.0,22261.0,4503.0,229078.0
2020-02-05,7803.0,0.0,0.0,0.0,179851.0,1457.0,8004.0,0.0,0.0,0.0,29269.0,9540.0,152383.0,73835.0,0.0,1267962.0,0.0,0.0,29300.0,4496.0,57563.0
2020-02-06,8242.0,0.0,0.0,0.0,171414.0,7484.0,6128.0,0.0,0.0,0.0,29240.0,8609.0,156871.0,94268.0,0.0,1222113.0,0.0,0.0,29476.0,4686.0,79239.0
2020-02-07,8367.0,0.0,0.0,0.0,197862.0,5656.0,5692.0,0.0,0.0,0.0,24402.0,2180.0,155072.0,81859.0,0.0,1247606.0,0.0,0.0,27878.0,4812.0,110836.0
2020-02-08,8302.0,0.0,0.0,0.0,129079.0,187.0,5669.0,0.0,0.0,0.0,7694.0,20836.0,133498.0,43414.0,0.0,1239714.0,0.0,0.0,20006.0,4822.0,95018.0
2020-02-09,8376.0,0.0,0.0,0.0,65691.0,296.0,5661.0,0.0,0.0,0.0,767.0,48590.0,121163.0,40107.0,0.0,1066901.0,0.0,0.0,19428.0,4797.0,266448.0
2020-02-10,8361.0,0.0,0.0,0.0,72311.0,230.0,5692.0,0.0,0.0,0.0,13256.0,22331.0,129300.0,50882.0,0.0,1126109.0,0.0,0.0,16989.0,4484.0,279600.0
2020-02-11,8037.0,0.0,0.0,0.0,85819.0,7855.0,5696.0,0.0,0.0,0.0,13769.0,21555.0,134263.0,52034.0,0.0,1157611.0,0.0,0.0,17116.0,4804.0,263613.0
2020-02-12,8085.0,0.0,0.0,0.0,160841.0,11929.0,5699.0,0.0,0.0,0.0,17582.0,16582.0,136047.0,56038.0,0.0,1196077.0,0.0,0.0,26443.0,4691.0,153590.0
2020-02-13,8084.0,0.0,0.0,0.0,186183.0,15375.0,5690.0,0.0,0.0,0.0,20753.0,13220.0,137768.0,71728.0,0.0,1168698.0,0.0,0.0,14779.0,4482.0,259936.0
2020-02-14,8075.0,0.0,0.0,0.0,192544.0,5438.0,7348.0,0.0,0.0,0.0,27703.0,6669.0,145163.0,81327.0,0.0,1196685.0,0.0,0.0,27575.0,4537.0,107405.0
2020-02-15,8061.0,0.0,0.0,0.0,68789.0,3.0,5712.0,0.0,0.0,0.0,5416.0,25335.0,133931.0,57703.0,0.0,1138821.0,0.0,0.0,31344.0,4754.0,186563.0
2020-02-16,8231.0,0.0,0.0,0.0,65345.0,35.0,5708.0,0.0,0.0,0.0,143.0,50059.0,116409.0,39075.0,0.0,947596.0,0.0,0.0,20639.0,4719.0,281961.0
2020-02-17,8219.0,0.0,0.0,0.0,99966.0,14.0,5754.0,0.0,0.0,0.0,22033.0,20244.0,129226.0,62830.0,0.0,1151282.0,0.0,0.0,13379.0,4549.0,210026.0
2020-02-18,8437.0,0.0,0.0,0.0,105516.0,72.0,5904.0,0.0,0.0,0.0,15519.0,21616.0,135090.0,57971.0,0.0,1198815.0,0.0,0.0,30013.0,4432.0,194454.0
2020-02-19,8271.0,0.0,0.0,0.0,149684.0,78.0,5772.0,0.0,0.0,0.0,31335.0,18436.0,138824.0,74644.0,0.0,1180480.0,0.0,0.0,25656.0,4330.0,156662.0
2020-02-20,8338.0,0.0,0.0,0.0,158893.0,7166.0,6140.0,0.0,0.0,0.0,20557.0,1853.0,142370.0,75261.0,0.0,1088163.0,0.0,0.0,32727.0,4456.0,190326.0
2020-02-21,8431.0,0.0,0.0,0.0,157600.0,417.0,8577.0,0.0,0.0,0.0,22452.0,10950.0,145470.0,77749.0,0.0,1155778.0,0.0,0.0,32957.0,4475.0,117319.0
2020-02-22,8429.0,0.0,0.0,0.0,70139.0,293.0,5736.0,0.0,0.0,0.0,3062.0,36404.0,125097.0,41064.0,0.0,1053542.0,0.0,0.0,37141.0,4464.0,188645.0
2020-02-23,8360.0,0.0,0.0,0.0,67475.0,303.0,5754.0,0.0,0.0,0.0,864.0,41080.0,108869.0,33746.0,0.0,1027735.0,0.0,0.0,31227.0,4456.0,225903.0
2020-02-24,8435.0,0.0,0.0,0.0,114618.0,299.0,5794.0,0.0,0.0,0.0,19315.0,11564.0,124976.0,59554.0,0.0,1129720.0,0.0,0.0,31672.0,4176.0,188175.0
2020-02-25,8331.0,0.0,0.0,0.0,113421.0,292.0,6618.0,0.0,0.0,0.0,14810.0,18167.0,130959.0,63405.0,0.0,1108047.0,0.0,0.0,18181.0,4481.0,231234.0
2020-02-26,8326.0,0.0,0.0,0.0,176720.0,1232.0,5693.0,0.0,0.0,0.0,31027.0,2147.0,144534.0,88601.0,0.0,1131388.0,0.0,0.0,26427.0,4756.0,217639.0
2020-02-27,7965.0,0.0,0.0,0.0,185458.0,9003.0,6494.0,0.0,0.0,0.0,39827.0,79.0,157218.0,104907.0,0.0,1090468.0,0.0,0.0,12715.0,4707.0,207320.0
2020-02-28,7732.0,0.0,0.0,0.0,182194.0,530.0,5688.0,0.0,0.0,0.0,16164.0,3986.0,159039.0,84353.0,0.0,1128053.0,0.0,0.0,24588.0,4845.0,162585.0
2020-02-29,7670.0,0.0,0.0,0.0,66010.0,240.0,5676.0,0.0,0.0,0.0,1692.0,39807.0,133727.0,49084.0,0.0,1040532.0,0.0,0.0,15592.0,4765.0,280326.0
2020-03-01,6917.0,0.0,0.0,0.0,63420.0,291.0,4038.0,0.0,0.0,0.0,8991.0,31457.0,137535.0,53065.0,0.0,995629.0,0.0,0.0,22881.0,4942.0,205219.0
2020-03-02,7121.0,0.0,0.0,0.0,160063.0,258.0,6455.0,0.0,0.0,0.0,22222.0,11556.0,159421.0,75087.0,0.0,1133489.0,0.0,0.0,18177.0,4857.0,165260.0
2020-03-03,7610.0,0.0,0.0,0.0,188418.0,7427.0,4758.0,0.0,0.0,0.0,26885.0,5918.0,159185.0,70221.0,0.0,1131581.0,0.0,0.0,17727.0,4915.0,81168.0
2020-03-04,7659.0,0.0,0.0,0.0,184633.0,673.0,5553.0,0.0,0.0,0.0,24693.0,4290.0,164183.0,80173.0,0.0,1132069.0,0.0,0.0,17278.0,4896.0,93269.0
2020-03-05,7955.0,0.0,0.0,0.0,171413.0,9920.0,4049.0,0.0,0.0,0.0,20564.0,5660.0,165558.0,86555.0,0.0,1087959.0,0.0,0.0,11810.0,4924.0,179633.0
2020-03-06,7866.0,0.0,0.0,0.0,163923.0,3140.0,4049.0,0.0,0.0,0.0,15726.0,12432.0,165984.0,92557.0,0.0,1105250.0,0.0,0.0,25744.0,4899.0,162440.0
2020-03-07,7752.0,0.0,0.0,0.0,142693.0,192.0,4040.0,0.0,0.0,0.0,10602.0,2784.0,165648.0,87252.0,0.0,1077412.0,0.0,0.0,32747.0,4923.0,83381.0
2020-03-08,7581.0,0.0,0.0,0.0,75634.0,189.0,4005.0,0.0,0.0,0.0,7259.0,40918.0,159098.0,70175.0,0.0,1006780.0,0.0,0.0,28158.0,4785.0,195102.0
2020-03-09,7541.0,0.0,0.0,0.0,149208.0,208.0,5500.0,0.0,0.0,0.0,26428.0,1063.0,170248.0,93381.0,0.0,1079176.0,0.0,0.0,31585.0,4719.0,157748.0
2020-03-10,7998.0,0.0,0.0,0.0,107448.0,283.0,6680.0,0.0,0.0,0.0,11894.0,19396.0,161046.0,78186.0,0.0,1061098.0,0.0,0.0,21015.0,4801.0,261848.0
2020-03-11,8006.0,0.0,0.0,0.0,126238.0,234.0,4135.0,0.0,0.0,0.0,7038.0,23757.0,160689.0,71445.0,0.0,1037137.0,0.0,0.0,31081.0,4868.0,226253.0
2020-03-12,8038.0,0.0,0.0,0.0,115955.0,278.0,4981.0,0.0,0.0,0.0,10247.0,21233.0,165243.0,77076.0,0.0,983962.0,0.0,0.0,24240.0,4885.0,190929.0
2020-03-13,8083.0,0.0,0.0,0.0,138518.0,246.0,5633.0,0.0,0.0,0.0,20011.0,18276.0,172544.0,76820.0,0.0,1003894.0,0.0,0.0,41269.0,4833.0,109756.0
2020-03-14,7949.0,0.0,0.0,0.0,154486.0,283.0,3967.0,0.0,0.0,0.0,10221.0,425.0,171485.0,69522.0,0.0,1001343.0,0.0,0.0,34929.0,4790.0,78368.0
2020-03-15,7797.0,0.0,0.0,0.0,66704.0,326.0,3974.0,0.0,0.0,0.0,3457.0,41110.0,157107.0,49183.0,0.0,875700.0,0.0,0.0,42593.0,4943.0,107091.0
2020-03-16,7393.0,0.0,0.0,0.0,157182.0,285.0,4025.0,0.0,0.0,0.0,19500.0,6900.0,167848.0,76848.0,0.0,1020103.0,0.0,0.0,20407.0,4897.0,61278.0
2020-03-17,7530.0,0.0,0.0,0.0,168609.0,314.0,4044.0,0.0,0.0,0.0,16032.0,2961.0,167825.0,71120.0,0.0,1022689.0,0.0,0.0,29994.0,4878.0,27011.0
2020-03-18,7766.0,0.0,0.0,0.0,131191.0,309.0,4040.0,0.0,0.0,0.0,18670.0,10710.0,164378.0,72596.0,0.0,987769.0,0.0,0.0,46481.0,5076.0,21925.0
2020-03-19,7961.0,0.0,0.0,0.0,132950.0,322.0,3978.0,0.0,0.0,0.0,13928.0,1779.0,161977.0,69078.0,0.0,980645.0,0.0,0.0,44716.0,5117.0,41075.0
2020-03-20,8037.0,0.0,0.0,0.0,63359.0,303.0,3965.0,0.0,0.0,0.0,15368.0,6989.0,159527.0,78693.0,0.0,966170.0,0.0,0.0,44335.0,5153.0,114819.0
2020-03-21,8036.0,0.0,0.0,0.0,59500.0,278.0,3956.0,0.0,0.0,0.0,4494.0,27494.0,139443.0,51356.0,0.0,820748.0,0.0,0.0,40680.0,5056.0,180129.0
2020-03-22,7987.0,0.0,0.0,0.0,59293.0,319.0,3987.0,0.0,0.0,0.0,1275.0,40790.0,127732.0,42189.0,0.0,765907.0,0.0,0.0,39435.0,5153.0,192498.0
2020-03-23,7966.0,0.0,0.0,0.0,73251.0,307.0,3998.0,0.0,0.0,0.0,9390.0,16306.0,133268.0,55855.0,0.0,924172.0,0.0,0.0,37290.0,5151.0,161775.0
2020-03-24,7991.0,0.0,0.0,0.0,80498.0,303.0,4382.0,0.0,0.0,0.0,12325.0,11616.0,137366.0,74304.0,0.0,975318.0,0.0,0.0,41750.0,5123.0,121537.0
2020-03-25,8024.0,0.0,0.0,0.0,76712.0,239.0,3972.0,0.0,0.0,0.0,12602.0,5861.0,133001.0,66275.0,0.0,987672.0,0.0,0.0,49860.0,5136.0,114375.0
2020-03-26,7973.0,0.0,0.0,0.0,70907.0,307.0,3959.0,0.0,0.0,0.0,15184.0,1955.0,128784.0,71031.0,0.0,965512.0,0.0,0.0,46424.0,5148.0,132588.0
2020-03-27,7990.0,0.0,0.0,0.0,72346.0,307.0,4221.0,0.0,0.0,0.0,16779.0,668.0,133383.0,85926.0,0.0,950866.0,0.0,0.0,46837.0,5135.0,68470.0
2020-03-28,7996.0,0.0,0.0,0.0,60313.0,304.0,3958.0,0.0,0.0,0.0,11237.0,26494.0,115350.0,59128.0,0.0,869678.0,0.0,0.0,50636.0,5162.0,114768.0
2020-03-29,7669.0,0.0,0.0,0.0,55341.0,258.0,3822.0,0.0,0.0,0.0,4536.0,41470.0,95948.0,44646.0,0.0,700934.0,0.0,0.0,34613.0,4958.0,258869.0
2020-03-30,8039.0,0.0,0.0,0.0,68651.0,113.0,3992.0,0.0,0.0,0.0,23306.0,5938.0,121757.0,82816.0,0.0,939941.0,0.0,0.0,31648.0,5011.0,230954.0
2020-03-31,8011.0,0.0,0.0,0.0,97218.0,276.0,4000.0,0.0,0.0,0.0,22409.0,4796.0,121123.0,85991.0,0.0,951694.0,0.0,0.0,46032.0,5053.0,161961.0
2020-04-01,8000.0,0.0,0.0,0.0,66975.0,280.0,3240.0,0.0,0.0,0.0,26769.0,639.0,119533.0,84616.0,0.0,990153.0,0.0,0.0,44615.0,4172.0,83552.0
2020-04-02,7994.0,0.0,0.0,0.0,41020.0,315.0,3228.0,0.0,0.0,0.0,20851.0,7205.0,118984.0,82231.0,0.0,1025543.0,0.0,0.0,44135.0,4212.0,50360.0
2020-04-03,7995.0,0.0,0.0,0.0,30420.0,294.0,3233.0,0.0,0.0,0.0,26518.0,221.0,119626.0,94962.0,0.0,1010202.0,0.0,0.0,50013.0,4064.0,39938.0
2020-04-04,7997.0,0.0,0.0,0.0,19039.0,262.0,3231.0,0.0,0.0,0.0,13873.0,15164.0,104262.0,61989.0,0.0,965133.0,0.0,0.0,57956.0,3983.0,58530.0
2020-04-05,8008.0,0.0,0.0,0.0,13784.0,309.0,3424.0,0.0,0.0,0.0,3880.0,46552.0,83673.0,27066.0,0.0,729783.0,0.0,0.0,56603.0,3982.0,140270.0
2020-04-06,7995.0,0.0,0.0,0.0,13878.0,282.0,3231.0,0.0,0.0,0.0,20329.0,22879.0,98192.0,43084.0,0.0,919555.0,0.0,0.0,38624.0,3945.0,103682.0
2020-04-07,7541.0,0.0,0.0,0.0,13414.0,292.0,3202.0,0.0,0.0,0.0,23719.0,382.0,108101.0,47165.0,0.0,1031441.0,0.0,0.0,44720.0,3924.0,48495.0
2020-04-08,7926.0,0.0,0.0,0.0,13188.0,209.0,3197.0,0.0,0.0,0.0,18495.0,9664.0,107810.0,50924.0,0.0,1026842.0,0.0,0.0,48978.0,3958.0,36733.0
2020-04-09,7995.0,0.0,0.0,0.0,13596.0,266.0,3211.0,0.0,0.0,0.0,9258.0,12749.0,114832.0,50851.0,0.0,972084.0,0.0,0.0,56499.0,3847.0,37134.0
2020-04-10,7985.0,0.0,0.0,0.0,13257.0,255.0,3176.0,0.0,0.0,0.0,17177.0,9195.0,101800.0,37105.0,0.0,938183.0,0.0,0.0,56586.0,3855.0,59175.0
2020-04-11,8021.0,0.0,0.0,0.0,13119.0,340.0,3184.0,0.0,0.0,0.0,15374.0,17202.0,103112.0,32632.0,0.0,863277.0,0.0,0.0,54325.0,4058.0,36867.0
2020-04-12,7973.0,0.0,0.0,0.0,13160.0,345.0,3147.0,0.0,0.0,0.0,17128.0,25600.0,97248.0,28734.0,0.0,814408.0,0.0,0.0,43084.0,4348.0,39952.0
2020-04-13,8034.0,0.0,0.0,0.0,13099.0,325.0,3139.0,0.0,0.0,0.0,333.0,48564.0,83770.0,22712.0,0.0,654953.0,0.0,0.0,36002.0,4253.0,158210.0
2020-04-14,7780.0,0.0,0.0,0.0,14674.0,292.0,3146.0,0.0,0.0,0.0,19321.0,12443.0,105001.0,36659.0,0.0,897185.0,0.0,0.0,59536.0,4124.0,133130.0
2020-04-15,7740.0,0.0,0.0,0.0,13991.0,297.0,3212.0,0.0,0.0,0.0,16303.0,4064.0,110607.0,47142.0,0.0,965640.0,0.0,0.0,54403.0,4153.0,105955.0
